"groupId","catalogId","status","reviewAction","candidateCount","profileCount","profiles","providers","confidenceLevels","highestReviewConfidenceScore","deferredFromNextBatch","makam","form","usul","title","composer","priorityGroup","decisionReason","decisionReviewedAt","decisionReviewedBy"
"muhayyer--ilahi--sofyan--duseli_bu_askin--dede_efendi:review-group","muhayyer--ilahi--sofyan--duseli_bu_askin--dede_efendi","conflict","resolve-conflict-before-import","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|needs-context","74","true","Muhayyer","İlahi","Sofyan","Duseli Bu Askin","Dede Efendi","pdf-and-musicxml","","",""
"acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli:review-group","acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acem","İlahi","Nimevsat","Calabim Bir","Haci Bayram Veli","pdf-and-musicxml","","",""
"acem--kupe--duyek--zulfunu--ahmet_avni_konuk:review-group","acem--kupe--duyek--zulfunu--ahmet_avni_konuk","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acem","Kupe","Duyek","Zulfunu","Ahmet Avni Konuk","pdf-and-musicxml","","",""
"acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede:review-group","acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acem","Selam","Devrikebir","Asik İ Ger","Huseyin Fahreddin Dede","pdf-and-musicxml","","",""
"acem--seyir--sofyan--1--erol_bingol:review-group","acem--seyir--sofyan--1--erol_bingol","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acem","Seyir","Sofyan","1","Erol Bingol","pdf-and-musicxml","","",""
"acem--turku--duyek--ordunun_dereleri--ordu:review-group","acem--turku--duyek--ordunun_dereleri--ordu","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acem","Turku","Duyek","Ordunun Dereleri","Ordu","pdf-and-musicxml","","",""
"acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi:review-group","acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Agirsemai","Senginsemai","Ey Lebleri","Dede Efendi","pdf-and-musicxml","","",""
"acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi:review-group","acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Beste","Devrikebir","Ber Kusa Yi","Basmaci Abdi Efendi","pdf-and-musicxml","","",""
"acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi:review-group","acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Beste","Zencir","Hayatin Cumleye","Dellalzade Haci İsmail Efendi","pdf-and-musicxml","","",""
"acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer:review-group","acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Fantezi","Yuruksemai İi","Ey Benim","Resat Erer","pdf-and-musicxml","","",""
"acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi:review-group","acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","İlahi","Muhammes","Ta Dil","Calakzade Mustafa Efendi","pdf-and-musicxml","","",""
"acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk:review-group","acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Kupe","Aksaksemai","Bir","Ahmet Avni Konuk","pdf-and-musicxml","","",""
"acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay:review-group","acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Mars","Nimsofyan","Korkma Sonmez","Ali Rifat Cagatay","pdf-and-musicxml","","",""
"acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi:review-group","acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Nakis","Yuruksemai","Ne Hevayi","Dede Efendi","pdf-and-musicxml","","",""
